,公司,年月,TSE新產業名,TEJ子產業名,實收資本額(元),實收資本額(NTD),本期匯出金額(NTD),期末帳面值(NTD),累計台灣匯出總額(NTD),經濟部核准金額(NTD),  現金及約當現金,  不動產廠房及設備,  其他應付款,  當期所得稅負債,  應計退休金負債,  股本,    法定盈餘公積,    未分配盈餘,  保留盈餘,母公司股東權益合計,股東權益總額,營業收入淨額,營業費用,稅前淨利,所得稅費用,繼續營業單位損益,合併總損益,本期綜合損益總額,歸屬母公司淨利（損）,綜合損益歸屬母公司,加權平均股數,稀釋稅後淨利,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利,期末普通股－現金股利,  稅前淨利－CFO,  折舊－CFO,  攤提－CFO,來自營運之現金流量,期初現金及約當現金,期末現金及約當現金,期末累計匯出金額(NTD)
3192,3518,2014-12-31,M2331 其他電子業,M23H2 電機設備,807522300,2007712.0,0.0,3542138.0,512771.0,2006072,1107389.0,1357890,209857.0,1517.0,0.0,850742,365001.0,317580.0,742960.0,3515684,3515684,1265410.0,399762.0,-220921.0,27286.0,-248207.0,-248207.0,-140184.0,-248207.0,-140184.0,84936.0,-248207.0,84936.0,-203251.0,3238.0,-174408.0,0.0,-220921.0,205051.0,1438.0,115087.0,1513282.0,1107389.0,458445.0
3193,3518,2013-12-31,M2331 其他電子業,M23H2 電機設備,807522300,1859962.0,0.0,3524295.0,512771.0,1858322,1513282.0,1443905,228646.0,0.0,0.0,850742,355504.0,582129.0,1076812.0,3753917,3753917,1446741.0,466049.0,119487.0,24510.0,94977.0,94977.0,299107.0,94977.0,299107.0,85074.0,94977.0,85426.0,140353.0,347736.0,-103224.0,85074.0,119487.0,206397.0,986.0,205747.0,1489955.0,1513282.0,458445.0
3194,3518,2012-12-28,M2331 其他電子業,M23H2 電機設備,807522300,1506362.0,0.0,3166813.0,512771.0,1504722,1489955.0,1398311,207012.0,1747.0,0.0,842319,355504.0,561569.0,977452.0,3477442,3477442,1686293.0,535291.0,-152628.0,49983.0,-202611.0,-202611.0,-330149.0,-202611.0,-330149.0,85059.0,,,-115672.0,126011.0,-140469.0,0.0,-152628.0,234210.0,7473.0,103605.0,2215000.0,1489955.0,458445.0
3195,3530,2018-12-28,M2324 半導體,M23G5 IC設計,780559000,5375.0,0.0,14850.0,5375.0,5375,486893.0,48811,54735.0,31552.0,0.0,778279,34567.0,230859.0,265952.0,2169342,2169342,2034267.0,289745.0,189973.0,32541.0,157432.0,157432.0,158292.0,157432.0,158292.0,72655.0,157432.0,73163.0,190363.0,256975.0,157432.0,155956.0,189973.0,36118.0,30494.0,143192.0,217164.0,486893.0,5375.0
3196,3530,2017-12-29,M2324 半導體,M23G5 IC設計,780559000,5208.0,0.0,10601.0,5208.0,5208,217164.0,38775,53411.0,24029.0,0.0,679809,14158.0,230514.0,244672.0,976142,976142,1714565.0,252425.0,239507.0,35420.0,204087.0,204087.0,201533.0,204087.0,201533.0,67629.0,204087.0,68037.0,240015.0,297953.0,204087.0,136096.0,239507.0,30912.0,27026.0,-108533.0,437592.0,217164.0,5208.0
3197,3530,2016-12-30,M2324 半導體,M23G5 IC設計,780559000,5644.0,0.0,3436.0,5644.0,5644,437592.0,31396,60492.0,20256.0,0.0,669359,990.0,140528.0,141518.0,843029,843029,1405770.0,260469.0,151161.0,19483.0,131678.0,131678.0,130886.0,131678.0,130886.0,66516.0,131678.0,67002.0,151248.0,209148.0,131678.0,100878.0,151161.0,31412.0,26488.0,308992.0,130791.0,437592.0,5644.0
3198,3530,2015-12-31,M2324 半導體,M23G5 IC設計,780559000,5744.0,0.0,1689.0,5744.0,5744,130791.0,29534,44027.0,0.0,0.0,661069,0.0,9897.0,9897.0,694434,694434,702480.0,217528.0,14725.0,4763.0,9962.0,9962.0,10900.0,9962.0,10900.0,65926.0,9962.0,66116.0,14757.0,73852.0,9962.0,0.0,14725.0,31850.0,27245.0,-4437.0,89395.0,130791.0,5744.0
3199,3530,2014-12-31,M2324 半導體,M23G5 IC設計,780559000,5539.0,0.0,704.0,5539.0,5539,173962.0,34360,21409.0,687.0,0.0,658459,0.0,-4965.0,-4965.0,677722,677722,369468.0,175173.0,-4655.0,118.0,-4773.0,-4773.0,-3529.0,-4773.0,-3529.0,65506.0,-4773.0,65506.0,-4655.0,50514.0,-4773.0,0.0,-4655.0,27506.0,27663.0,-25727.0,199984.0,173962.0,5539.0
3200,3530,2013-12-31,M2324 半導體,M23G5 IC設計,780559000,5216.0,5216.0,5161.0,5216.0,5216,199984.0,24970,15140.0,230.0,0.0,652539,0.0,-34868.0,-34868.0,671644,671644,212650.0,142728.0,-32062.0,245.0,-32307.0,-32307.0,-31897.0,-32307.0,-31897.0,65204.0,-32307.0,65204.0,-32062.0,15625.0,-32307.0,0.0,-32062.0,14727.0,32960.0,-7430.0,229461.0,199984.0,5216.0
3201,3533,2018-12-28,M2328 電子零組件,M23D2 連接器,1034779000,2615113.0,0.0,6844942.0,1564598.0,1715233,1448071.0,3350160,830541.0,226720.0,0.0,1060417,931082.0,5110368.0,6296652.0,9506158,9871482,13311518.0,2366429.0,2154297.0,445998.0,1708299.0,1708299.0,1651989.0,1608567.0,1553091.0,93478.0,1608567.0,93800.0,2172765.0,2999885.0,1722158.0,900258.0,2154297.0,819154.0,7966.0,1508279.0,1319133.0,1448071.0,1564598.0
